"RegionName","State","Metro","CountyName","SizeRank","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07889413351315,1.05718056828243,1.02061229653174,1.05180120957139,1.18596620071625,1.1864406779661,1.21575704368466,1.2575,1.33803506177136,1.3428041138975,1.28693252101256,1.23066104078762,1.27737226277372,1.34505401398009,1.3090034965035,1.39502977374972,1.5271838729383,1.59085062324749,1.5124016938899,1.38486717864787,1.44620431776492,1.38688529845483,1.24843016980114,1.2998266897747,1.35161564202274,1.30201208000227,1.39557646301067,1.46335478311497,1.48898017736046,1.37992831541219,1.49109657947686,1.39066537054565,1.63055334099241
"Phoenix","AZ","Phoenix","Maricopa",2,,,,0.742059958444642,0.730668285839666,0.692765222468193,0.66799166640951,0.633007953723789,0.603491799362735,0.618811881188119,0.650195058517555,0.626009693053312,0.606559995222687,0.567150635208711,0.564363941924007,0.558732092081509,0.533858136517368,0.573906673097621,0.591450735358218,0.592906147877769,0.56863554903638,0.585849481748535,0.597072879330944,0.589105979869745,0.606225936123659,0.579607288373121,0.581078627201743,0.595238095238095,0.588235294117647,0.581558376781776,0.575209600526056,0.591249507292077,0.647948164146868,0.662705255378848,0.591249507292077,0.648479427549195,0.603796445880452,0.641364449503984,0.651890482398957,0.583466033339269,0.597886540600667,0.564204961994058,0.566379700951518,0.562952847768398,0.567637674430718,0.632563256325633,0.672947510094213,0.630602016512331,0.641061452513967,0.641061452513967,0.621882793017456,0.602879955514705,0.631067961165049,0.610642303495213,0.632563256325633,0.602124415931329,0.61751497005988,0.676757239640913,0.652819067925678,0.680218021376913,0.666666666666667,0.665742024965326,0.655409836065574,0.651678998292544,0.71013756644407,0.753012048192771,0.687568756875688,0.688731081951464,0.659038238702202,0.656995543184282,0.634249471458774,0.688899116731678,0.66,0.65428976042029
"Las Vegas","NV","Las Vegas","Clark",3,0.625205680969783,0.650195058517555,0.707371556217424,0.679610378582488,0.664130548126702,0.631199278629396,0.622633103141011,0.634707838975638,0.663371144712129,0.657071655123309,0.649699777339257,0.651611486703773,0.666969972702457,0.653261333062495,0.642300755845947,0.624056908816555,0.647899910634495,0.6442417331813,0.630253999819217,0.630630630630631,0.621621621621622,0.615313907870555,0.621380846325167,0.614715079089585,0.612223648213734,0.620229599751784,0.604921405700071,0.604921405700071,0.613413304252999,0.611189468735308,0.601282966172702,0.606796116504854,0.61372635283766,0.607782388455859,0.606194886035902,0.613298966419011,0.620389000670691,0.619356659142212,0.61741835147745,0.615095353209777,0.620620533304731,0.626405396723418,0.622325943212758,0.621875,0.627665141342953,0.633027697538983,0.627313101406366,0.635382567552292,0.624011048785624,0.641117998421204,0.624721106648818,0.61472602739726,0.613496932515337,0.614113443501563,0.616269515201315,0.636811832374692,0.638600798715965,0.623052959501558,0.63430245400709,0.643695939010824,0.649691279109692,0.640167364016736,0.633048744627457,0.636308739189252,0.648035641960308,0.651744390764638,0.658024417345929,0.669344042838019,0.667735042735043,0.68307181053346,0.686894009811907,0.662332973278733,0.686458103840787,0.659484414456298
"San Antonio","TX","San Antonio","Bexar",4,,,,,,,,,,0.608695652173913,0.585075140762345,0.543985079266397,0.531914893617021,0.571753836370601,0.562292357310012,0.541292916795546,0.536877310332688,0.551301684532925,0.585632483081728,0.633102371158384,0.613449691991786,0.60619872379216,0.595860465817783,0.577134986225895,0.575139756658994,0.555722439170922,0.554728223872862,0.573630136986301,0.551037003879439,0.573951362520716,0.586848669039534,0.578703703703704,0.585952991581507,0.60313630880579,0.653223516046578,0.64773038479385,0.61553677140255,0.614754098360656,0.596380290619791,0.595575914815415,0.6004828002414,0.584219559853127,0.576253481100859,0.578703703703704,0.58659217877095,0.622873460582618,0.621008308002469,0.620501365103003,0.632920989807573,0.592738472949512,0.59269268381678,0.578703703703704,0.6004828002414,0.60195344053608,0.623781676413255,0.641683778234086,0.624506158062439,0.618796526054591,0.611110303442676,0.618800814178758,0.62288993923025,0.60195344053608,0.594325153374233,0.592177335624473,0.606060606060606,0.641333780601253,0.6004828002414,0.647847997716822,0.630191922085362,0.60195344053608,0.649194929770469,0.679049262639589,0.625601539942252,0.672171502735124
"San Diego","CA","San Diego","San Diego",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01582367900537,1.01050929668553,1.09795213422156,1.08012568735271,1.0742093208251,1.12030650089296,1.15141047783535,1.16666666666667,1.24069478908189,1.25794580690342,1.26182498608926,1.24515965145866,1.20697187094259,1.2531328320802,1.24295657938349,1.22500852405916,1.19760479041916,1.19700961045218,1.2656199935918,1.26438894416432,1.30890052356021,1.264047521746,1.26060017536733,1.26782367401356,1.2636858008533,1.27805486284289,1.43039010639265,1.40596856542806,1.35017045518598,1.36265967573075,1.37931034482759,1.41206675224647,1.3070776956242,1.37590204206971,1.28624883068288,1.31979734195938,1.28660593902642,1.27045650301464,1.31632239773188,1.30614863843886,1.2656199935918,1.28407743974714,1.33511267793446,1.24000533226942,1.33693972179289,1.37301587301587,1.38689283744157
"Jacksonville","FL","Jacksonville","Duval",6,,,,,,,,,,,,,,,,,,,,,,,0.670240544085131,0.663988947845018,0.649862825788752,0.630399287225399,0.630399287225399,0.640048101065095,0.602409638554217,0.5921875,0.594330633635064,0.592233009708738,0.597123186624047,0.596979467164432,0.613194421895351,0.621255824273353,0.600137174211248,0.598495212038304,0.596246801251066,0.618440902531812,0.605214728293571,0.596998224816813,0.592295470238405,0.595419847328244,0.592295470238405,0.66308925337598,0.648414985590778,0.622638356000906,0.621255824273353,0.637840975043529,0.637102305703583,0.644768962510898,0.637102305703583,0.646819922248049,0.650606139513352,0.665824832624528,0.644963144963145,0.620865761154257,0.619348478084825,0.59946066559024,0.601964633544732,0.570509766555503,0.570509766555503,0.613442389758179,0.618657821109368,0.672566371681416,0.672566371681416,0.680551000327976,0.64606313276526,0.647216626528642,0.69724393253805,0.664579245655533,0.620614507310939,0.660121385219564
"Virginia Beach","VA","Virginia Beach","Virginia Beach City",7,,,,,,,,,,,,,,,,,,,,,0.844176968119714,0.841939829366861,0.783762057877814,0.753465943339361,0.737479320175194,0.758620689655172,0.731512945786146,0.759212976349168,0.733220530174845,0.751902434600795,0.743089289827473,0.773281596452328,0.786885245901639,0.832387438516837,0.832387438516837,0.817884405670665,0.761654016518072,0.749183157274593,0.739644970414201,0.745209368346345,0.739644970414201,0.71771978021978,0.730586915784324,0.750750750750751,0.791557038853094,0.805060379528465,0.800712337915298,0.776588845654994,0.764105559951968,0.753657293347038,0.760104898367776,0.728862973760933,0.724115028780499,0.736258376835679,0.715578392986122,0.776588845654994,0.816485225505443,0.776337196644736,0.798638911128903,0.753465943339361,0.73608316566063,0.72250659602523,0.722177294386549,0.721029047283773,0.726062143310082,0.733137829912023,0.742240215924426,0.795856493178373,0.815681902638424,0.758283918277807,0.79646017699115,0.781804799190494,0.791139240506329,0.801603206412826
"Colorado Springs","CO","Colorado Springs","El Paso",8,,,,,,,,,,,0.589242546333602,0.566766317887394,0.55859907817668,0.543135568930926,0.556660039761431,0.540197013028281,0.546875,0.546371532642197,0.530262365947273,0.519426553085394,0.561627200971463,0.559338521400778,0.556424714689615,0.559308648508543,0.55328798185941,0.547263094903174,0.541928123217342,0.552242102937928,0.556660039761431,0.558160303639205,0.539383561643836,0.556660039761431,0.559986816084377,0.560498316878093,0.559592328211876,0.555399325084364,0.567741037404552,0.568182948695633,0.540540540540541,0.553426990208599,0.556295548775613,0.559380378657487,0.559380378657487,0.57207709595816,0.575253198591061,0.581525628345357,0.585307741929642,0.582922824302135,0.562820512820513,0.565388397246804,0.559473831514134,0.5631048562998,0.575767563799479,0.591190789075845,0.593824228028504,0.597317784478467,0.604535290584299,0.606950069850832,0.594202898550725,0.59572408257185,0.598597845087826,0.591644817188606,0.608272506082725,0.599624060150376,0.559749935407907,0.571725571725572,0.590277777777778,0.598034515819751,0.608476707432682,0.608272506082725,0.631910585876923,0.566648677819752,0.599161174355902,0.612912605012032
"Pittsburgh","PA","Pittsburgh","Allegheny",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.405258733954088,0.408154248636162,0.409948073244056,0.453907386918902,0.497077765174143,0.464645030774979,0.446459062580039,0.433100242347307,0.371104616935216,0.429465519889418,0.441176470588235,0.403066171304859,0.453955901426719,0.454195804195804,0.413603310166654,0.398519783660689,0.399042298483639,0.454776422764228,0.478441211527819,0.467399633202693,0.446428571428571,0.417801774260485,0.491064483907679,0.454033318487413,0.462278106508876,0.439698492462312,0.469682689286836,0.42156862745098,0.4475,0.415000440278499,0.383631713554987,0.425170068027211,0.407679894962574
"Henderson","NV","Las Vegas","Clark",10,,,,,,,,,,,,0.702727272727273,0.699259813817106,0.654611318891289,0.672706256396067,0.679831660731628,0.680019429057199,0.682170542635659,0.70221452270685,0.697140688051022,0.741027515159518,0.692555033391046,0.684313707574634,0.682382540546459,0.682554372975474,0.669914738124239,0.685348465169861,0.688730893939681,0.688757935888016,0.691809347524294,0.676989150090416,0.676153846153846,0.679831660731628,0.679831660731628,0.679831660731628,0.711778741975549,0.693177672382342,0.676842429848905,0.683554483313229,0.710088148873653,0.680822991196461,0.675675675675676,0.680131904369332,0.681818181818182,0.675675675675676,0.672143390589993,0.678988959617515,0.687757909215956,0.695088044485635,0.702070207020702,0.683554483313229,0.693693693693694,0.697999069334574,0.686406397666845,0.708128078817734,0.70650574035914,0.720949957591179,0.720949957591179,0.761054739985958,0.754060324825986,0.735718407386036,0.741554660859235,0.720875096477261,0.705251054043695,0.710534445474205,0.693249503639974,0.691419478104454,0.703014933784165,0.733455217990824,0.700344676194408,0.755958073688409,0.750884012840341,0.765496639283047,0.76144347239548
"Orlando","FL","Orlando","Orange",11,,,,,,,,,,,,,,,,,,,0.530341472045294,0.589176736238252,0.613046448087432,0.59274033272948,0.566801619433198,0.604395604395604,0.625,0.644893899204244,0.601250601250601,0.585865983156353,0.609457806767224,0.580334936163157,0.579529243937232,0.584776334776335,0.609859117570401,0.613014775227916,0.629853361945637,0.61996336996337,0.651542649727768,0.643768821924533,0.632571216491183,0.625909065607613,0.61671874381019,0.618928235662802,0.605450601099801,0.597441896414656,0.593839612812773,0.598516949152542,0.615382799962239,0.645756512405882,0.645161290322581,0.628272251308901,0.633675316837658,0.61204038993819,0.631327116928917,0.634809460217771,0.635311143270622,0.651408450704225,0.660348977135981,0.609579100145138,0.637510460371506,0.664001626790789,0.671599949372859,0.656128839844915,0.659874057353626,0.632449322714704,0.636758321273517,0.65955655346618,0.640201110258365,0.657509157509158,0.660503540519276,0.680397606269699,0.700027748759467,0.661639157655094,0.698088455772114,0.68856670718789
"New Haven","CT","New Haven","New Haven",12,,,,,,,,,,,0.362796833773087,0.362796833773087,0.359969845457972,0.356530827464126,0.35472972972973,0.345877144438296,0.3483005521049,0.383749488334016,0.358843537414966,0.348214285714286,0.348214285714286,0.347076940957694,0.378977178077628,0.372555107109593,0.370509373231593,0.369293533425483,0.348117939639184,0.3458552055993,0.349013657056146,0.363173477073232,0.36468330134357,0.416783638864715,0.386465132256956,0.376647834274953,0.40522286445656,0.390370852309694,0.390370852309694,0.36468330134357,0.36468330134357,0.386363636363636,0.36709208092978,0.386363636363636,0.37718395252838,0.368562206845307,0.386363636363636,0.383553030145532,0.386414384310296,0.375219318554412,0.365230094959825,0.363839957564295,0.36468330134357,0.365230094959825,0.371538302301448,0.373458268182963,0.380005448106783,0.386465132256956,0.391403297835795,0.394121069887067,0.386465132256956,0.386363636363636,0.370296912593687,0.36468330134357,0.365007502093369,0.34937307220113,0.365331702843167,0.376372975437807,0.377187688593844,0.38107335662115,0.393876632743539,0.358535855840148,0.403667332927783,0.365007502093369,0.405405405405405,0.36468330134357
"Cumming","GA","Atlanta","Forsyth",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.639327660594439,0.626090281776074,0.63758389261745,0.649717514124294,0.649717514124294,0.649341649341649,0.666745584496609,0.655172413793103,0.657916537226882,0.655172413793103,0.657399015691709,0.644813224914429,0.649448857176583
"Frisco","TX","Dallas-Fort Worth","Collin",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.728256171516404,0.73327222731439,0.713241529793262,0.767255422433854,0.788066422741345,0.768028846153846,0.783085356303837,0.761076379450938,0.769822940723634,0.771509408506147,0.769646368113918,0.738078297090171,0.727173295213193,0.739691532892666,0.7301702922213,0.772668767137598,0.804827519135964,0.759601276407999,0.78740157480315,0.748003493302946,0.774706867671692,0.724400871459695,0.772014475271411,0.779896013864818,0.794470264798176,0.801538954793203,0.763570504110639,0.825595984943538,0.815853990738219,0.778904269838175,0.750775172905158
"Waterbury","CT","New Haven","New Haven",15,,,,0.247390633160272,0.245057601005149,0.246573625705168,0.247852058040301,0.240536389918775,0.238777758900313,0.234364702781073,0.236127508854782,0.237642585551331,0.246460251827618,0.248336269328636,0.245535714285714,0.241690331547983,0.237642585551331,0.236294896030246,0.234159779614325,0.241274928774929,0.242284948167301,0.245706150760796,0.245901639344262,0.244200244200244,0.261382799325464,0.252502752502753,0.249356499356499,0.240312427812428,0.241779497098646,0.240384615384615,0.242248062015504,0.236127508854782,0.240316671739792,0.256532692838425,0.258313023800251,0.255255255255255,0.255551604235815,0.255847953216374,0.255255255255255,0.255847953216374,0.255255255255255,0.255255255255255,0.256458680978367,0.255847953216374,0.25706940874036,0.265672782874618,0.263008106145361,0.246556473829201,0.256410256410256,0.268230230025861,0.272379089968106,0.267145822292881,0.261131529069935,0.260296163735675,0.260330578512397,0.269485903814262,0.260549405832823,0.265522875816993,0.276002324230099,0.259489916963227,0.269983439460733,0.259589947089947,0.266312780366558,0.274463726199084,0.27114967462039,0.276052449965493,0.27114967462039,0.27114967462039,0.274463726199084,0.260261748958953,0.268427781862271,0.256107171000788,0.268470397035023,0.258493978766014
"Somerville","MA","Boston","Middlesex",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20481927710843,1.02675793403858,1.01659957893555,0.994891092968776,1.10267034990792,1.19787045252884,1.14832535885167,1.10574761322165,1.1241105230818,0.983284169124877,0.956765676567657,0.983190612115446,0.99889012208657,1.00881830061254,0.993676693529083,0.99128066072939,0.957224050254263,0.91894927798112,0.952380952380952,0.93302232589137,0.8920753870943,0.916380297823597,0.969882593159775,0.940054495912807,0.982042648709315,0.956365809922295,0.992481203007519,1.01508987589964
"Greenwich","CT","Stamford","Fairfield",17,,,,,,,,,,,,,,,,,,2.38257317903336,2.38257317903336,2.61737445332608,2.67589769339828,2.52681715547383,2.53649635036496,2.42192406995542,2.43635145579339,2.40155617694789,2.33149988004438,2.26345159508674,2.36326806212019,2.52058821106058,2.53752943485086,2.53752943485086,2.69499048826887,2.61742038679657,2.61742038679657,2.80017961632402,2.54821614196614,2.52016383112791,2.44580349607149,2.50689395838556,2.44580349607149,2.48362284300798,2.46765194681861,2.3246930781384,2.35261555494049,2.44852071850436,2.48811853508527,2.57245755445035,2.52403846153846,2.46143747948802,2.52403846153846,2.66404559543353,2.44869469569786,2.52490582870738,2.36639191704334,2.37326751471426,2.62721238938053,2.82308860755946,2.83171521035599,2.52403846153846,2.44548604035052,2.46139308471298,2.52403846153846,2.52848326319071,2.51777959943283,2.51679441658289,2.47257452795563,2.52403846153846,2.61742038679657,2.70004001179313,2.76548672566372,2.70758122743682,2.50563768479078,2.5887227895334
"Eastvale","CA","Riverside","Riverside",18,,,,,,,,,,0.702619414483821,0.723783620429133,0.714285714285714,0.685816382627818,0.662894724626892,0.680544435548439,0.682952456002101,0.692771084337349,0.705616709003669,0.687442713107241,0.689243027888446,0.69257478910983,0.70867896192724,0.69424766222726,0.695494405805866,0.708174472647135,0.715625,0.705282112845138,0.699022393062454,0.702875399361022,0.709639266706091,0.689958896065766,0.689958896065766,0.693943288176703,0.684731934731935,0.678894271938717,0.696572861521315,0.712797619047619,0.697916666666667,0.692306556870318,0.68584478021978,0.686813186813187,0.685084312239485,0.684626436781609,0.687125748502994,0.687848933686143,0.686813186813187,0.688136526286815,0.688746659451455,0.694325918675242,0.704225352112676,0.710144927536232,0.715675791274594,0.709401709401709,0.689485348436346,0.720649895178197,0.714618625559222,0.72842096093385,0.721875901198468,0.745173775029425,0.71078431372549,0.730846774193548,0.728829849079998,0.727272727272727,0.72108843537415,0.72108843537415,0.741497213047069,0.742337275819419,0.733648346182542,0.752062105773896,0.743413080500426,0.730846774193548,0.77539842398202,0.757142857142857,0.772420510679747
"East Hampton","NY","New York","Suffolk",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9655172413793,19.3312434691745,18.75,18.75,18,17.5,17.3037576725386,16.24063822859,15,14.2857142857143,15.8333333333333,16.6666666666667,18.6666666666667,18.75,17.445652173913,16.25,16.2650602409639,16.3461538461538,13.6363636363636,15.4700854700855,13.614941932808,13.6931818181818,12.5,14,14.6153846153846,15.4528598718957,16.5833333333333,16.2650602409639,16.5,17,15,16,15,15.2922077922078,13.7846100996221
"Southampton","NY","New York","Suffolk",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.75,13.3333333333333,13.7534671016718,16.166568627451,16.3982949565772,17.7632575757576,18.9798339264531,19.6047678795483,18.9636011737529,18.6943717277487,16.7926112510495,16.2790697674419,15.4320987654321,15.672514619883,15.7848130970129
"Bridgehampton","NY","New York","Suffolk",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16.6666666666667,16.2790697674419,17.2727272727273,16.6666666666667,16.8333333333333,18.375,18.3035714285714,17.8174603174603,16.7785234899329,16.6666666666667,18.75,17.7777777777778,20.7547169811321,18.3716475095785
