"RegionName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.875,2.92307692307692,2.85880420748842,2.73267326732673,2.80554117353248,2.74713827838828,2.64150943396226,2.56640927888343,2.64705882352941,2.72,2.70030120481928,2.72721880728998,2.73128342245989,2.7363184079602,2.72,2.66666666666667,2.64,2.6355421686747,2.5763358778626,2.58333333333333,2.6,2.64864864864865,2.6271186440678,2.66184401983079,2.72727272727273,2.70535981336364,2.78947368421053,2.71141992244659,2.71268564356436
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66522988505747,4.54545454545455,4.58404074702886,4.54292929292929,4.46201923076923,4.4182958509291,4.5,4.5,4.5,4.50643776824034,4.34705323193916,4.28282828282828,4.28571428571429,4.27777777777778,4.24610051993068,4.17556411667584,4.125,4.10459587955626,4.16666666666667,4.16666666666667,4.34782608695652,4.43333333333333,4.44444444444444,4.5,4.53961456102784,4.54070981210856,4.54545454545455
"Los Angeles-Long Beach-Anaheim, CA",2,2.01388888888889,2.11822660098522,2.14285714285714,2.10235358511221,2,2.20747990666321,2.14285714285714,1.9875,2.0550799086758,1.9530652639087,1.94117647058824,1.97222222222222,2.14285714285714,2.20638341543514,2.36190476190476,2.32933333333333,2.35808270676692,2.35902255639098,2.41666666666667,2.325,2.4195652173913,2.41507588495818,2.44368961352657,2.40824915824916,2.30444444444444,2.40899357601713,2.47058823529412,2.44791666666667,2.47058823529412,2.35294117647059,2.37341772151899,2.42857142857143,2.35833333333333,2.39972337482711,2.23609022556391,2.33110367892977,2.39182413710716,2.4,2.37333333333333,2.44,2.47172859450727,2.5,2.59714285714286,2.58222222222222,2.60505229419703,2.66776496430533,2.72800233474391,2.7377358490566,2.71052631578947,2.77941176470588,2.80504908835905,2.8125,2.81256578947368,2.88888888888889,2.93650793650794,2.94545454545455,2.96067226890756,2.95454545454545,2.97716150081566,2.97361353077816,3.0125,3.02238805970149,3.06485507246377,3.08163265306122,3.04935723951286,3.1,3.18759018759019,3.10964083175803,3.07142857142857
"Chicago, IL",3,,,,,,,,,2.30769230769231,2.29857142857143,2.30801282051282,2.31666666666667,2.27615493958778,2.21023553358534,2.18181818181818,2.19813186813187,2.36904761904762,2.34807895069799,2.35590686916296,2.41288136466708,2.43297776127153,2.38738738738739,2.37257281553398,2.40909090909091,2.44508124131641,2.56038647342995,2.56483126110124,2.6,2.63577235772358,2.62705843393443,2.65598650927487,2.62376237623762,2.64855687606112,2.60164331896552,2.58380414312618,2.6,2.58880308880309,2.55506516758755,2.60887802742924,2.64210364352536,2.71088073719653,2.79635258358663,2.86888111888112,2.72086466165414,2.86256186351956,2.79523080958209,2.65913370998117,2.52408799777221,2.65346534653465,2.81459392209814,2.7197972972973,2.68128161888702,2.72809667673716,2.71743119266055,2.71327433628319,2.61428571428571,2.68235294117647,2.69299134637873,2.72831642683023,2.69351669941061,2.6728813559322,2.75302183756938,2.63636363636364,2.59090909090909,2.63770794824399,2.54623287671233,2.60295819161658,2.60901738082946,2.55949709864603
"Dallas-Fort Worth, TX",4,,,,,,,,,1.24816176470588,1.07142857142857,1.08139534883721,1.26816688213747,1.2469693670151,1.27594936708861,1.34628096860183,1.2375,1.41538461538462,1.52918813362141,1.43664473684211,1.35714285714286,1.42767857142857,1.45,1.43448275862069,1.43296909659205,1.45161290322581,1.44602328794158,1.4661669535912,1.49769585253456,1.47042117930205,1.49988959293395,1.58539800479815,1.57155004859086,1.58854166666667,1.4746835443038,1.58333333333333,1.4746835443038,1.4856528340081,1.47058823529412,1.51821862348178,1.55199843260188,1.63546082400572,1.72827852353652,1.7002024291498,1.74541356068384,1.57246330330979,1.69910179640719,1.76470588235294,1.72295561989825,1.60836501901141,1.69699453551913,1.66550116550117,1.67105263157895,1.7,1.7,1.76447368421053,1.77461538461538,1.69223484848485,1.79012345679012,1.79872045730038,1.77733552631579,1.78026007115447,1.75,1.78,1.80833333333333,1.84850475367329,1.82113344563832,1.88604651162791,1.81818181818182,1.90868263473054
"Philadelphia, PA",5,,,,,,,,,,,,,,,,,,,,,,1.72916666666667,1.74145299145299,1.54387155133424,1.54545454545455,1.50062656641604,1.61111111111111,1.63732394366197,1.74038461538462,1.73076923076923,1.66666666666667,1.66666666666667,1.68010752688172,1.68010752688172,1.83428571428571,1.76923076923077,1.65004280821918,1.62585616438356,1.66666666666667,1.7603305785124,2.07059426229508,1.99761662425785,1.99745547073791,1.81971153846154,1.75,1.74363636363636,1.74363636363636,1.76478067387158,1.88644444444444,1.89087301587302,1.97374581939799,2.15777777777778,2.36195799457995,2.31428571428571,2.29551282051282,2.07608695652174,1.98135198135198,1.9875,2.10548418972332,2.13793103448276,2.28900255754476,2.28333333333333,2.4421832884097,2.53084067635151,2.55084745762712,2.36800808866661,2.49166666666667,2.47145314713621,2.49041666666667
"Washington, DC",6,,,,,,2.57954545454545,2.71698113207547,2.86666666666667,2.7,2.72905525846702,2.81151799667074,2.88461538461538,2.91941535496306,2.90833333333333,2.99214708056171,3.06930693069307,3.10336616635397,3.06368330464716,3.01567944250871,2.98872180451128,2.95638126009693,3.01567944250871,2.99249530956848,3.04761904761905,3.035413153457,3.06930693069307,3.14415279556125,3.16896145182004,3.02895752895753,2.9708904109589,2.95921985815603,3.09665721657217,3.08333333333333,3.08181818181818,3.02934782608696,2.98888888888889,2.98888888888889,2.98058252427184,2.96910407339855,2.99727272727273,3.03883495145631,3.07198443579767,3.06127648163046,3.09737345202685,3.11413043478261,3.08447765212709,3.10917030567686,3.07291666666667,3.02788814510905,3.05845511482255,3.08147931303669,3.06222222222222,3.05882352941176,3.06675579322638,3.10311284046693,3.11366373490019,3.11633685219519,3.09323492976673,3.1032805581645,3.17647058823529,3.19264069264069,3.17647058823529,3.19334676935627,3.14159926802819,3.18435754189944,3.25,3.15607399874844,3.20934418145957,3.1
"Miami-Fort Lauderdale, FL",7,,,2.26073979174617,2.27678571428571,2.31211033480308,2.28613569321534,2.20228384991843,2.16666666666667,2.05357142857143,2.02931486791532,2.06412608241119,2.09879802955665,1.97916666666667,2.10818713450292,2.1181001283697,2.12121212121212,2.1551724137931,2.20151024908445,2.26745562130178,2.26480836236934,2.27048592433208,1.95,1.97916666666667,2.05882352941176,1.72448979591837,1.7018018018018,1.875,1.87647058823529,1.90582959641256,2.16170093157726,2.2093023255814,2.245,2.35042735042735,2.22857142857143,2.33333333333333,2.421647819063,2.33333333333333,2.23214285714286,2.24491517254675,2.2,2.34418285693525,2.33752442251477,2.33333333333333,2.40693196405648,2.47175141242938,2.43263473053892,2.34453781512605,2.4,2.4390243902439,2.54618644067797,2.58774630541872,2.58620689655172,2.68729641693811,2.75,2.75,2.7365311550152,2.61204013377926,2.65161895146751,2.65017667844523,2.63730158730159,2.66666666666667,2.66666666666667,2.70453514096092,2.72585669781931,2.66666666666667,2.64245329400197,2.74268104776579,2.57548845470693,2.7424342738829
"Atlanta, GA",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83188475232271,1.8,2.04761904761905,2.15950920245399,2.15950920245399,2.0735524256651,2.15215532241773,2.18759643189226,2.17041800643087,2.06809411033894,2.09800350163786,2.09615384615385,2
"San Francisco, CA",9,,,,,,,,,,,,,,,,,,,,,,3.77027027027027,3.77027027027027,3.7062404870624,3.90357142857143,3.73637778505898,3.71406827571211,3.65566037735849,3.88888888888889,3.85145157872431,4.09844006568144,4.09688013136289,4.46480263157895,4.2,4.0037037037037,4.36371094110056,4.28657638622103,4.23529411764706,4.28116710875332,4.40714285714286,4.6560942502241,4.6275,4.57792667998196,4.57831325301205,4.63333333333333,4.57972805933251,4.51122349102773,4.63157894736842,4.66238532110092,4.69496021220159,4.595,4.86683904330963,4.78724137931034,4.8187441643324,4.79268292682927,5.1869212962963,4.85499533146592,4.93812034739454,4.85893344679644,4.96369908888913,5.09512341962673,5.17647058823529,5.13076923076923,5.17647058823529,5.08199643493761,5.17647058823529,4.89084458898558,4.76470627033682,4.75
"Detroit, MI",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.910246865203762,0.916666666666667,0.9,0.904545454545455,0.902272727272727,0.879166666666667,0.910246865203762,0.849980132211104,0.846584546472564,0.965088555627414,1.00503597122302,1.00251798561151,1.00503597122302,1,1,1,1.01251798561151,1.01251798561151,1,1.02020408163265,1.17647058823529,1.05728892688059,1.17647058823529,1.02577590741715,1.07142857142857
"Phoenix, AZ",11,,,,,,,,,,,,,,,,1.16839586122357,1.20743987250072,1.16981132075472,1.17647058823529,1.23588286713287,1.2320987654321,1.17692307692308,1.15909090909091,1.146,1.15163147792706,1.18453865336658,1.1981981981982,1.2,1.15128205128205,1.18788854351687,1.16632860040568,1.17050040355125,1.16532007458048,1.16599337062358,1.16666666666667,1.16666666666667,1.16666666666667,1.16252821670429,1.16666666666667,1.16843971631206,1.17586956521739,1.20790998217469,1.25,1.19253208868145,1.22684391080618,1.23263850709225,1.24239406779661,1.3125,1.25721153846154,1.36363636363636,1.29508196721311,1.32433231913455,1.33016304347826,1.34558823529412,1.35751046572475,1.385,1.375,1.41074856046065,1.51356993736952,1.5079006772009,1.55849582172702,1.59316638370119,1.55882352941176,1.57083333333333,1.53377159673438,1.4825327510917,1.52372937492473,1.48225469728601,1.5335843373494
"Seattle, WA",12,,,,,,,,,,,,,1.80484114977307,1.91650485436893,1.9875,1.96503495248758,2.05128205128205,2.068669527897,2.06694345960067,2.14738510301109,2.14438502673797,2.19485815602837,2.21556390977444,2.10896727004637,2.06119162640902,2.0875,2.182,2.10912698412698,2.2240952876855,2.252,2.26666666666667,2.28270915374106,2.44164078674948,2.3704554851489,2.31221511849784,2.42831541218638,2.37360594795539,2.40106761565836,2.40385091585717,2.47619047619048,2.61152570480929,2.59789576365663,2.64139196193782,2.65765765765766,2.68546637744035,2.62664165103189,2.62339149689404,2.59981884057971,2.59434796027159,2.63017296096477,2.69495412844037,2.75732217573222,2.75247524752475,2.8131671211531,2.8395211532889,2.8486646884273,2.81585174340663,2.80876584084941,2.82997762863535,2.84648432265845,2.85311826024443,2.93383742911153,2.99107142857143,2.98309178743961,3.0517608413692,3.038,2.97628458498024,3.07829942274429,3.02891156462585
"Minneapolis-St Paul, MN",13,,,,,,,,,,,,,,,,,,,,,,,,,1.63552960399846,1.6990780141844,1.67480158730159,1.644375,1.75925925925926,1.69852422907489,1.58775510204082,1.66990291262136,1.68618547868923,1.64102564102564,1.5625,1.63414918414918,1.71846991037132,1.88982683982684,1.88571428571429,1.92568574836017,1.85288640595903,1.85671262570626,1.85310986964618,1.8974025974026,1.86440677966102,1.77538186950025,1.69375,1.7,1.68867924528302,1.75,1.84225552344551,1.85288640595903,1.83196168375607,1.90082644628099,1.86375411434841,1.86580882352941,1.86666666666667,1.90666666666667,1.94548688353699,1.96745562130178,1.96153846153846,1.96716466365296,1.97244481149974,1.98067183077611,1.98093016195668,1.81176470588235,1.96039586368644,2.00635593220339,2.02097913497066
"San Diego, CA",14,,,,,,,,,2.32692307692308,2.22358722358722,2.12764675052411,1.9875,1.90246516613076,2.01834862385321,2.12686503416856,2.0625,2.15909090909091,2.14444444444444,2.15909090909091,2.15909090909091,2.05,2.06458333333333,2.1203022875817,2.16173120728929,2.16173120728929,2.12044534412955,2.17954545454545,2.08601286173633,2.01085481682497,1.99844320712695,2.09167969513387,2.16186252771619,2.05555555555556,2.16186252771619,2.18199784405318,2.42307692307692,2.46296992481203,2.39422683467145,2.43664717348928,2.6,2.607399879757,2.393,2.52420180650147,2.62238274706868,2.66485753052917,2.67640170822427,2.7275204359673,2.72804593226937,2.81198910081744,2.78779008310159,3,2.925,2.97597042513863,2.92142857142857,2.92142857142857,3.07892271662763,3.17460317460317,3.13808166036272,2.98517316017316,2.94558080808081,2.93831168831169,2.9047619047619,2.91970802919708,2.97448705553765,2.97840473702543,3.08333333333333,3.12857142857143,3.07142857142857,3.17392156862745
"St. Louis, MO",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32299124900557,1.33461538461538,1.35,1.3625304136253,1.35590909090909,1.31578947368421,1.35726795096322,1.38938211685645,1.3625304136253,1.32222222222222,1.33333333333333,1.38055528776632,1.36419203608094,1.36419203608094,1.33860342555995,1.44444444444444,1.49870801033592,1.49105367793241,1.45255474452555,1.44652128764278,1.48464812281502,1.43333333333333
"Tampa, FL",16,,,,,,,,,,0.983751548946716,1.11607142857143,1.11677631578947,1.13636363636364,1.13111111111111,1.08712121212121,1.08181818181818,1.08333333333333,1.2,1.20222222222222,1.16203703703704,1.21111111111111,1.13636363636364,1.15740740740741,1.17777777777778,1.2,1.2,1.25567010309278,1.31666666666667,1.25,1.29444444444444,1.23333333333333,1.22777777777778,1.16666666666667,1.20559210526316,1.23517786561265,1.32,1.32777777777778,1.32222222222222,1.32777777777778,1.32777777777778,1.36666666666667,1.54347222222222,1.52125,1.47444444444444,1.5625,1.53014239281845,1.5625,1.65,1.66666666666667,1.56612021857923,1.59287605197964,1.55555555555556,1.55902777777778,1.5,1.52666666666667,1.54248366013072,1.49777777777778,1.625,1.625,1.76777777777778,1.8,1.86222222222222,1.82493643323734,1.84016806722689,1.89732142857143,2.00086956521739,2.16666666666667,1.85485761162545,1.91666666666667
"Baltimore, MD",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48965524614076,2.26765384135954,2.22811671087533,2.28658536585366,2.32352941176471,2.0752427184466,2.12592592592593,2.10091743119266,2.06310679611651,2.12,2.19660194174757,2.05097087378641,2.03170028818444,2.08534582132565,2.00115740740741,2.12,2.11289508939647,2.16949838187702,2.25508916714096,2.26941747572816,2.22087378640777,2.1,2.239204384924,2.09490740740741,2.15376355631912,2.10227272727273
"Denver, CO",18,,,,,,,,,,,,,1.68181818181818,1.5,1.45040479377829,1.52801358234295,1.66903409090909,1.71030960238881,1.73333333333333,1.63194444444444,1.60090264345583,1.61045531197302,1.61418623986697,1.58173758865248,1.58602733781731,1.67638483965015,1.68303571428571,1.67060146149522,1.5,1.53465346534653,1.59653465346535,1.59826732673267,1.64705882352941,1.65714285714286,1.68944732937685,1.89024390243902,1.99616122840691,2.02783300198807,2,1.93303571428571,1.784,1.93760245901639,1.92049469964664,2,2.03606557377049,2.01344392559014,2.01321003963012,2.00764818355641,2.08524590163934,2.09603658536585,2.07985699337286,2.09901331755855,2.16783216783217,2.2537037037037,2.25,2.22368446072714,2.32388663967611,2.30910476718404,2.25816464625186,2.25952813067151,2.21951219512195,2.28723404255319,2.22365038560411,2.22316865417376,2.3688787018846,2.35543278084715,2.35714285714286,2.46156830988292,2.3270013568521
"Portland, OR",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59550561797753,2.4248718340581,2.2375,2.24708171206226,2.25812274368231,2.27189477189477,2.34145802650957,2.32577319587629,2.42718446601942,2.45726975222066,2.47467478507864,2.52491103202847,2.50247933884298,2.48513011152416,2.40706319702602,2.43775266246468,2.46899989045898,2.4671669793621,2.39918782159238,2.47272727272727,2.47126436781609,2.51258992805755,2.49056603773585,2.60479716785231
"Charlotte, NC",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6921768707483,1.71848013816926,1.78709287443852,1.76542470295986,1.80788177339901,1.83441688624126,1.87817258883249,1.89762611275964,1.89387823328857,1.89412555637982,1.91741365260453,1.89756097560976,1.9629057187017,1.9421875,1.92953020134228,1.88644688644689,1.98165137614679,1.93157228725087,2,1.93548387096774,1.99664429530201,1.95321263007748,1.93548387096774
"San Antonio, TX",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67209302325581,1.69100775193798,1.62558139534884,1.49190476190476,1.40848225432495,1.39047619047619,1.3843828320802,1.49375,1.43776709401709,1.52813264317801,1.47619047619048,1.40681818181818,1.39325842696629,1.47969939449804,1.50284090909091,1.5,1.53789004457652,1.5060736677116,1.27777777777778,1.48393574297189,1.34991974317817
"Orlando, FL",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82503556187767,1.72068965517241,1.72520190895742,1.8291844476055,1.79095153401512,1.79230769230769,1.82207977207977,1.8354381841796,1.93495187071326,1.76666666666667,1.72068965517241,1.71685205784205,1.79230769230769,1.85337961888439,1.94855160662123,1.85707569346497,1.87319884726225,1.88775919732441,1.89969604863222,1.90205371248025,1.90161527165932,1.92051282051282,2.0049786628734,1.91607396870555
"Kansas City, MO",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09799801078871,1.08421052631579,1.08377192982456,1.08687258687259,1.16306575767825,1.11933687674007,1.21052631578947,1.18721461187215,1.03850806451613,1,1,1.10063680267665,1.14285714285714,1.12278132118451,1.17312072892939,1.118,1.22885391444713,1.35555555555556,1.20056497175141,1.31216166110493,1.35555555555556,1.35555555555556,1.22928897586432,1.31397849462366,1.25,1.46185307535001,1.44292894708647,1.4,1.29983766233766,1.22222222222222,1.36871722027972,1.43636363636364,1.2865090403338
"Indianapolis, IN",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36274509803922,1.36219879518072,1.28666666666667,1.30042838018742,1.36219879518072,1.375,1.375,1.36416666666667,1.37,1.32,1.35333333333333,1.37555555555556
"San Jose, CA",25,,,,,,,,,,2.7,2.69166666666667,2.57142857142857,2.75128865979381,2.78461538461538,2.84835164835165,2.84510869565217,2.89706825202541,2.99666666666667,2.99666666666667,2.85870243293824,3.11833559698728,3.23671536796537,2.9875,2.9875,3.02222222222222,2.9972762508809,3.1,2.90052356020942,2.86092715231788,2.84285714285714,3.15604395604396,3.28958988380041,3.42410015649452,3.17357512953368,3.17357512953368,3.23461328976035,3.2089552238806,3.21691176470588,3.28819535126665,3.35492227979275,3.47046843177189,3.42118967988533,3.67364746945899,3.73214285714286,3.73134328358209,3.68045112781955,3.69334702907712,3.68188512518409,3.73134328358209,3.86535324159455,3.94548872180451,3.92857142857143,3.99,4.1453488372093,4.14615414833438,4.17692567567568,4.11139311900733,4.13703360131931,4.21476964769648,4.25,4.23037716615698,4.19,4.17837176525858,4.15869851828311,4.13232104121475,4.12741767253433,4.26966292134831,4.1475,4.0188679245283
"Austin, TX",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81067655935614,1.77835051546392,1.85185185185185,1.86428571428571,1.85185185185185,1.72749391727494,1.77,1.7375,1.78571428571429,1.86973039215686,1.94397594195519,2.0504137630662,2.0451467268623,1.95588235294118,1.88961038961039,1.93603307254623,2.16666666666667,1.92692490494297,1.96839736933195,2.00023680544807,1.9625,2.01593137254902,2,2,2,1.91055585732392,2.15608465608466,2,2.18593091442184,2.20268006700167,2.23309270516717,2.27909667106038,2.31884057971015,2.3125,2.31886910875271,2.3125,2.29468599033816,2.16049382716049,2.11650723950495
"Virginia Beach, VA",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40179127725857,1.2375,1.25833333333333,1.43383455779546,1.61413326392504,1.61061946902655,1.61413326392504,1.61151079136691,1.7,1.56233421750663,1.61151079136691,1.62300975860298,1.71547750177375,1.71364985163205
"Oklahoma City, OK",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01279317697228,1.01279317697228,1.01279317697228,1.06609808102345,1.01279317697228,1.01279317697228,1.01279317697228,1.01279317697228,1.01279317697228,1.01279317697228,1.01279317697228,1.06609808102345,1.23093900481541,1.25,1.21187800963082,1.21187800963082,1.24398073836276,1.21187800963082,1.32380952380952,1.2758493846977,1.28250401284109,1.38952380952381,1.41332263242376,1.41464920390653,1.32761904761905,1.20866773675762,1.25200642054575,1.29774307245925
"Stamford, CT",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19298245614035,2.1,2.125,2.28531855955679,2.43589743589744,2.37987588652482,2.42382271468144,2.47340425531915,2.30625,2.25,2.37479548573238,2.27272727272727,2.3125,2.3,2.36521276595745,2.09347826086957,2.18333333333333,2.33333333333333,2.55245944531659,2.5,2.55141843971631,2.47695035460993,2.5,2.5,2.5,2.72511848341232,2.72511848341232,2.71537309452001,2.77583187390543,2.77583187390543,2.77583187390543,2.75633698958429,2.65877602646429,2.54901960784314,2.80030441400304,2.55555555555556
"Albuquerque, NM",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33488977675142,1.28101503759399,1.29440789473684,1.29440789473684,1.27631578947368,1.36093429584059,1.33053221288515,1.38754888734448,1.31403118040089,1.29517348493729,1.35574837310195,1.32222222222222,1.36612021857923,1.35140997830803,1.33195498915401,1.28834355828221,1.38752783964365,1.38752783964365,1.39825269787669,1.37682402911144,1.34097109559659,1.36612021857923,1.38126391982183,1.33053221288515,1.26486748545572,1.27906976744186,1.3125
